subject,file,link,lineno,NOC,NOL,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L898,898,60,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L901,901,57,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L933,933,49,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L78,78,54,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L135,135,77,2,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L201,201,43,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L495,495,39,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L561,561,43,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L74,74,34,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L282,282,56,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L356,356,53,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L367,367,57,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L251,251,66,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L452,452,76,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L736,736,42,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/_travis/simple_tests.py,https://github.com/deepfakes/faceswap/blame/master/_travis/simple_tests.py#L35,35,32,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/plugin_loader.py,https://github.com/deepfakes/faceswap/blame/master/plugins/plugin_loader.py#L161,161,42,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/plugin_loader.py,https://github.com/deepfakes/faceswap/blame/master/plugins/plugin_loader.py#L221,221,45,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/_config.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/_config.py#L380,380,52,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L19,19,41,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L36,36,54,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L37,37,24,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L57,57,56,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L58,58,24,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L89,89,56,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/unbalanced.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/unbalanced.py#L90,90,24,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/villain.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/villain.py#L20,20,25,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/villain.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/villain.py#L34,34,40,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L109,109,61,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L123,123,45,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L496,496,64,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L497,497,26,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L589,589,65,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L653,653,69,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L809,809,63,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L872,872,47,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L930,930,37,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L977,977,34,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L981,981,54,2,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1300,1300,34,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1362,1362,20,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1363,1363,20,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1392,1392,43,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L1511,1511,46,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dlight.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dlight.py#L29,29,27,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dlight.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dlight.py#L54,54,55,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dlight.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dlight.py#L213,213,49,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dfl_h128.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dfl_h128.py#L17,17,33,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/original.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/original.py#L45,45,25,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dfl_sae.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dfl_sae.py#L22,22,41,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/dfl_sae.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/dfl_sae.py#L31,31,39,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L89,89,48,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L284,284,33,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L334,334,33,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L346,346,33,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L476,476,39,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L559,559,37,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/_base.py#L126,126,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/_base.py#L154,154,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/_base.py#L162,162,52,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/_base.py#L213,213,31,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/_base.py#L258,258,46,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L113,113,21,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L236,236,37,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L244,244,36,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L285,285,50,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/detect/s3fd.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/detect/s3fd.py#L506,506,53,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/_base.py#L78,78,58,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/_base.py#L148,148,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/_base.py#L197,197,44,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/cv2_dnn.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/cv2_dnn.py#L81,81,66,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/cv2_dnn.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/cv2_dnn.py#L134,134,27,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/cv2_dnn.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/cv2_dnn.py#L135,135,27,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/cv2_dnn.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/cv2_dnn.py#L136,136,35,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/cv2_dnn.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/cv2_dnn.py#L137,137,37,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/fan.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/fan.py#L80,80,22,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/align/fan.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/align/fan.py#L95,95,63,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/mask/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/mask/_base.py#L140,140,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/mask/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/mask/_base.py#L194,194,44,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/mask/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/mask/_base.py#L217,217,46,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/mask/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/mask/_base.py#L219,219,42,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/mask/vgg_obstructed.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/mask/vgg_obstructed.py#L172,172,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/mask/vgg_clear.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/mask/vgg_clear.py#L173,173,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/recognition/vgg_face2_keras.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/recognition/vgg_face2_keras.py#L93,93,66,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/convert/color/manual_balance.py,https://github.com/deepfakes/faceswap/blame/master/plugins/convert/color/manual_balance.py#L45,45,40,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/convert/color/manual_balance.py,https://github.com/deepfakes/faceswap/blame/master/plugins/convert/color/manual_balance.py#L46,46,66,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/convert/writer/pillow.py,https://github.com/deepfakes/faceswap/blame/master/plugins/convert/writer/pillow.py#L56,56,49,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/convert/mask/box_blend.py,https://github.com/deepfakes/faceswap/blame/master/plugins/convert/mask/box_blend.py#L26,26,40,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/convert/mask/mask_blend.py,https://github.com/deepfakes/faceswap/blame/master/plugins/convert/mask/mask_blend.py#L86,86,56,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tests/lib/model/optimizers_test.py,https://github.com/deepfakes/faceswap/blame/master/tests/lib/model/optimizers_test.py#L44,44,43,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L246,246,65,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L363,363,34,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L366,366,39,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L367,367,41,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L418,418,37,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L596,596,43,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/fsmedia.py,https://github.com/deepfakes/faceswap/blame/master/scripts/fsmedia.py#L623,623,64,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/train.py,https://github.com/deepfakes/faceswap/blame/master/scripts/train.py#L297,297,39,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/train.py,https://github.com/deepfakes/faceswap/blame/master/scripts/train.py#L340,340,62,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L51,51,63,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L52,52,68,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L55,55,42,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L80,80,70,1,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L136,136,38,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L194,194,50,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/scripts/extract.py,https://github.com/deepfakes/faceswap/blame/master/scripts/extract.py#L205,205,71,1,1,0,0,True
